index,S:all,I1:all,I2:all,R1:all,R2:all,S1:all,S2:all,I12:all,I21:all,beta:all,psi:all,i:all,gamma:all,alpha:all,e:all,d:all,sto:all,rep:MadeiraMildCases__ecdc__inc,rep:MadeiraSevereCases__ecdc__inc,phi:all,log_like
53,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
54,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
55,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
56,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
57,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
58,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
59,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
60,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
61,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
62,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
63,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
64,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
65,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
66,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
67,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
68,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
69,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
70,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
71,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
72,0.955877,6.38226e-10,0.00029785,8.78579e-07,0.0207489,8.46045e-08,0.00118652,0,0,9.87699,1.96691,4.79339e-14,2.3164,350.418,0.518392,-0.730254,0.1,0.991751,0.936393,0.1,217.109
